"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option2 name","Option2 value","Option3 name","Option3 value","Price","Compare-at price","Cost per item","Charge tax","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Collection","product.metafields.spartan.department","product.metafields.spartan.spec_available_colours","product.metafields.spartan.spec_average_gross_unit_weight_kg","product.metafields.spartan.spec_average_net_unit_weight_kg","product.metafields.spartan.spec_box_dimensions_l_x_w_x_h_m","product.metafields.spartan.spec_brand","product.metafields.spartan.spec_cable_size_in","product.metafields.spartan.spec_capacity","product.metafields.spartan.spec_carton_size","product.metafields.spartan.spec_certification_standard","product.metafields.spartan.spec_colour","product.metafields.spartan.spec_compatibility","product.metafields.spartan.spec_dimensions","product.metafields.spartan.spec_dimensions_in","product.metafields.spartan.spec_end_fitting_type","product.metafields.spartan_erp.material_code","product.metafields.spartan_erp.product_group","product.metafields.spartan.spec_eu_size","product.metafields.spartan.spec_grade","product.metafields.spartan.spec_handle_type","product.metafields.spartan.spec_height","product.metafields.spartan.spec_hole_diameter","product.metafields.spartan.spec_inside_diameter_in","product.metafields.spartan.spec_length","product.metafields.spartan.spec_material","product.metafields.spartan.spec_net_buoyancy","product.metafields.spartan.spec_notes","product.metafields.spartan.spec_outside_diameter_in","product.metafields.spartan.spec_outside_diameter_after_swage_in","product.metafields.spartan.spec_ply","product.metafields.spartan.spec_shank_x_diameter_in","product.metafields.spartan.spec_size","product.metafields.spartan.spec_size_in","product.metafields.spartan.spec_size_length_mm","product.metafields.spartan.spec_size_number","product.metafields.spartan.spec_standard_tap_size_in","product.metafields.spartan.spec_stock_size_in","product.metafields.spartan.spec_strand","product.metafields.spartan.spec_strength","product.metafields.spartan_erp.supplier_type_code","product.metafields.spartan.spec_take_up_length_j_length_in","product.metafields.spartan.spec_temperature_limit_if_applicable","product.metafields.spartan.spec_thread_size","product.metafields.spartan.spec_torque_specification_ft_lb","product.metafields.spartan.spec_volume","product.metafields.spartan.spec_wattage","product.metafields.spartan.spec_width","product.metafields.spartan.spec_working_load_limit","product.metafields.spartan.spec_working_load_limit_lb","product.metafields.spartan.spec_working_load_limit_ton"
"12% LAVO BLEACH 3.6L 6/Case","12-lavo-bleach-3-6l-6-case-010253","<table><tbody><tr><th>Size</th><td>3.6L</td></tr><tr><th>Strength</th><td>0.12</td></tr></tbody></table>","BUNZL (R3 RELIABLE)","","Bleach","Spartan import, department:maintenance-supplies, category:bleach, Bleach, BUNZL (R3 RELIABLE)","false","draft","010253","","Title","Default Title","","","","","","","","true","","","true","manual","Bleach","Maintenance & Supplies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6L","","","","","","","0.12","","","","","","","","","","",""
"600W LED Flood light with Aluminum cover","600w-led-flood-light-with-aluminum-cover-et2c-600","<table><tbody><tr><th>Size</th><td>69*51*25(cm)</td></tr><tr><th>Wattage</th><td>600</td></tr><tr><th>Colour</th><td>Black</td></tr></tbody></table>","ET2C INTERNATIONAL INC","","Lights","Spartan import, department:safety-buoys-survival, category:lights, Lights, ET2C INTERNATIONAL INC","false","draft","ET2C-600","","Title","Default Title","","","","","","","","true","","","true","manual","Lights","Safety, Buoys & Survival","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","69*51*25(cm)","","","","","","","","","","","","","","600","","","",""
"APRON 35X45 DIE-CUT ENDEAVOUR BLUE","apron-35x45-die-cut-endeavour-blue-14010080","<table><tbody><tr><th>Colour</th><td>Blue</td></tr></tbody></table>","INDIGO BAY TEX.","","Aprons","Spartan import, department:workwear-footwear, category:aprons, Aprons, INDIGO BAY TEX.","false","draft","14010080","","Title","Default Title","","","","","","","","true","","","true","manual","Aprons","Workwear & Footwear","","","","","","","","","","Blue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APRON CLIPPER","apron-clipper-70019-800-0001","","GRUNDEN'S USA LTD","","Aprons","Spartan import, department:workwear-footwear, category:aprons, Aprons, GRUNDEN'S USA LTD","false","draft","70019-800-0001","","Title","Default Title","","","","","","","","true","549","g","true","manual","Aprons","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APRON X SCALLOPER","apron-x-scalloper-70110-100-0001","","GRUNDEN'S USA LTD","","Aprons","Spartan import, department:workwear-footwear, category:aprons, Aprons, GRUNDEN'S USA LTD","false","draft","70110-100-0001","","Title","Default Title","","","","","","","","true","998","g","true","manual","Aprons","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAG SCALLOP 15-1/2X30 COTTON","bag-scallop-15-1-2x30-cotton-64021555","<table><tbody><tr><th>Size</th><td>56*42*21(cm)</td></tr></tbody></table>","ET2C INTERNATIONAL INC","","Scallop Bags","Spartan import, department:fishing-trap-gear, category:scallop-bags, Scallop Bags, ET2C INTERNATIONAL INC","false","draft","64021555","","Title","Default Title","","","","","","","","true","","","true","manual","Scallop Bags","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56*42*21(cm)","","","","","","","","","","","","","","","","","",""
"BAIT JAR TONYS W/EYELET","bait-jar-tonys-w-eyelet-25010082","","QUALITY INDUSTRIAL SALES LTD","","Bait Jars","Spartan import, department:fishing-trap-gear, category:bait-jars, Bait Jars, QUALITY INDUSTRIAL SALES LTD","false","draft","25010082","","Title","Default Title","","","","","","","","true","","","true","manual","Bait Jars","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BALACLAVA HH LIFA MERINO STD","balaclava-hh-lifa-merino-std-79707-481","<table><tbody><tr><th>Size</th><td>One size</td></tr><tr><th>Material</th><td>57% Merino, 43% Polypropylene</td></tr><tr><th>Colour</th><td>Camo</td></tr></tbody></table>","HELLY HANSEN WORKWEAR","","Balaclavas","Spartan import, department:workwear-footwear, category:balaclavas, Balaclavas, HELLY HANSEN WORKWEAR","false","draft","79707-481","","Title","Default Title","","","","","","","","true","","","true","manual","Balaclavas","Workwear & Footwear","","","","","","","","","","Camo","","","","","","","","","","","","","","57% Merino, 43% Polypropylene","","","","","","","One size","","","","","","","","","","","","","","","","","",""
"BARREL LEAD 4OZ 34MM LENGTH X 12MM HOLE","barrel-lead-4oz-34mm-length-x-12mm-hole-57040003","","SEA MASTER ENTERPRISE CO LTD","","Sinkers","Spartan import, department:fishing-trap-gear, category:sinkers, Sinkers, SEA MASTER ENTERPRISE CO LTD","false","draft","57040003","","Title","Default Title","","","","","","","","true","","","true","manual","Sinkers","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM 2XLARGE THERMAL GRUNDI","base-layer-bottom-2xlarge-thermal-grundi-20023-025-0017","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0017","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM LARGE THERMAL GRUNDIES","base-layer-bottom-large-thermal-grundies-20023-025-0015","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0015","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM MEDIUM THERMAL GRUNDIE","base-layer-bottom-medium-thermal-grundie-20023-025-0014","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0014","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
